,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
138,GB,0.0,0.0,0.0,0.0,,,,0.0001,,30,,,
139,GB,0.0,0.0,0.0,0.0,,,,0.0001,,40,,,
140,GB,0.0,0.0,0.0,0.0,,,,0.0001,,50,,,
141,GB,0.0,0.0,0.0,0.0,,,,0.0001,,100,,,
130,GB,0.0,0.0,0.0,0.0,,,,0.0001,log2,10,,,
148,BAG,0.0,0.0,0.0,0.0,,,,,1,60,,,
149,BAG,0.0,0.0,0.0,0.0,,,,,1,100,,,
129,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,100,,,
127,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,40,,,
126,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,30,,,
125,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,20,,,
124,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,10,,,
132,GB,0.0,0.0,0.0,0.0,,,,0.0001,log2,30,,,
122,GB,0.0,0.0,0.0,0.0,,,,0.001,,50,,,
128,GB,0.0,0.0,0.0,0.0,,,,0.0001,sqrt,50,,,
